bird name,total missed,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08
Chuck Will's Widow,1078,0,1,0,1,1,0,1,0,0,0,1,2,0,2,1,1,1,0,0,0,0,0,0,0,1,3,1,2,0,0,0,2,3,3,2,2,2,0,1,1,0,0,1,0,2,3,0,2,0,1,2,3,0,0,4,2,1,1,5,1,2,4,4,0,7,1,1,1,2,0,0,3,0,1,0,2,2,1,1,0,1,0,0,0,3,0,0,5,1,0,1,0,3,0,2,1,1,2,1,3,3,0,4,1,1,0,0,2
Red Necked Grebe,1074,0,0,0,0,0,0,1,3,1,0,0,1,2,2,1,1,4,1,0,0,0,0,0,0,1,1,1,2,0,2,2,2,0,3,2,0,0,0,1,0,0,0,0,2,1,1,0,6,0,1,2,1,2,0,1,2,1,3,4,3,0,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,2,3,4,0,0,3,0,1,1,2,0,1,0,0
Magnolia Warbler,1065,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,2,1,0,1,1,0,0,0,0,1,1,0,10,1,0,0,2,2,0,2,1,1,1,1,5,0,1,0,0,1,1,1,2,0,1,0,0,1,0,0,1,1,3,0,2,0,1,1,1,0,1,0,0,1,1,0,0,1,3,5,3,0,0,0,0,4,0,0,0,2,1,1,0,0,5,0,1,2
Harris's Sparrow,1059,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,2,0,0,0,1,1,0,0,0,1,2,1,0,0,6,0,0,0,0,0,0,1,0,7,0,5,3,0,5,2,1,1,3,0,2,1,1,4,1,4,4,1,1,1,1,4,0,0,2,0,1,1,0,2,1,3,1,3,3,1,1,1,0,0,0,0,0,0,1,2,1,3,1,0,0,2,3,0,1,1,2,1,0,2,0,1,0,0,2
Common Nighthawk,1049,1,0,0,1,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,3,4,3,1,1,1,0,1,2,0,0,0,0,0,0,21,2,1,3,0,2,2,0,8,0,2,3,6,1,0,1,3,0,3,1,0,0,4,1,1,1,1,0,4,1,2,0,0,0,0,0,0,0,1,1,0,4,1,3,1,1,0,0,1,5,1,1,0,1,1,4,1,0,2,1,0,1
Yellow Warbler,1044,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,4,0,2,0,2,1,2,1,3,1,1,0,2,7,0,1,0,0,0,0,0,7,0,1,4,5,2,0,0,1,1,0,1,2,2,0,4,2,2,4,3,1,1,2,2,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,1,1,1,2,1,0,1,3,1,3,0,0,0,2,1,13,1,3,1,0,1,0,1,0,1,2
Spotted Sandpiper,1042,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,3,3,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,1,1,3,0,1,0,0,0,0,0,2,2,0,1,0,2,0,0,0,6,1,3,2,1,1,0,2,1,0,1,3,0,4,0,0,2,2,1,0,0,1,0,1,0,4,2,3,0,1,0,0,0,1,0,1,0,0,0,1,4,0,0,1,0,2,21,0,2,0,1,2,1,0,2,0,1
Red Breasted Nuthatch,1040,2,0,0,0,1,1,1,0,0,0,0,2,0,2,1,3,2,0,1,0,0,0,1,2,0,1,1,1,0,3,2,2,0,2,0,2,3,1,1,0,0,0,6,0,2,0,3,2,0,1,1,1,2,3,2,1,2,4,3,1,2,1,0,0,4,1,0,2,1,1,0,1,3,0,2,0,2,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,2,1,1
Dunlin,1015,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,2,0,1,0,0,0,0,0,1,2,1,0,4,1,1,0,1,5,1,2,0,2,0,1,0,2,0,2,0,1,1,1,3,0,0,0,1,2,0,2,2,0,1,4,1,0,6,1,0,2,2,0,1,0,0,0,0,1,1,1,0,2,2,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,2,2,0,2,4,1,4,0,0,0
Green Winged Teal,1006,0,0,0,0,0,1,1,2,0,0,0,1,0,1,2,0,0,0,0,1,2,1,1,0,0,0,1,1,1,2,1,2,0,0,2,1,1,0,1,0,0,0,0,1,1,1,5,1,0,0,2,0,1,1,1,0,1,0,1,5,0,2,1,1,3,2,0,1,0,0,0,0,5,4,6,1,1,0,1,1,0,2,0,0,1,0,0,0,2,5,0,0,0,1,3,1,1,1,0,1,2,1,7,0,2,0,2,5
Peregrine Falcon,1001,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,3,0,4,0,1,0,0,1,1,0,0,0,0,1,0,2,1,0,2,2,0,7,0,0,0,1,0,2,1,3,1,1,0,2,0,1,10,1,0,0,2,3,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0,3,2,0,1,16,1,4,0,0,3,0,0,0,0,1
Northern Fulmar,999,0,0,0,1,0,1,1,0,0,0,0,2,0,1,0,1,5,0,0,0,0,2,1,0,1,0,0,0,1,0,1,4,1,6,0,2,0,0,0,1,0,0,0,0,0,0,1,8,1,1,0,0,1,0,1,0,1,1,5,3,0,0,1,0,0,1,2,6,1,0,0,3,1,1,0,0,1,0,1,3,1,0,0,0,2,0,0,0,6,2,2,2,1,0,0,2,1,0,0,3,1,0,6,2,3,0,0,0
Marsh Wren,995,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,4,1,0,0,0,0,1,3,0,0,1,0,0,2,1,0,3,1,1,0,1,0,3,0,3,0,3,2,0,0,1,1,0,1,2,0,1,4,3,1,0,0,1,0,1,1,0,3,0,0,0,1,1,1,2,1,0,1,1,0,2,0,0,0,0,1,0,0,0,3,2,0,0,2,3,0,1,3,0,0,0,1,0,0,3,0,1,0
Screech Owl,993,0,0,0,0,2,0,1,0,0,1,0,1,0,2,0,2,5,0,0,0,0,1,0,0,0,1,0,6,2,4,3,0,2,3,1,0,2,0,0,1,4,0,1,4,0,0,2,1,5,1,1,15,1,2,2,1,1,1,1,0,1,2,1,0,1,1,0,1,0,2,1,1,5,0,2,0,6,1,1,0,0,1,1,0,3,1,0,1,1,0,0,2,2,0,1,1,0,1,2,1,4,1,0,0,1,0,0,1
Golden Eagle,973,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,2,1,5,1,0,6,1,0,0,1,0,0,0,2,1,0,1,3,5,0,2,0,5,1,2,1,2,1,2,5,1,1,0,0,4,1,1,2,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,1,1,0,1,0,0,0,1,3,0,0,1,0,2,0,2,2
Brown Thrasher,970,5,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,1,1,0,0,5,0,3,1,0,3,0,0,0,5,0,0,1,0,1,3,2,1,0,2,0,1,3,0,0,1,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,0,1,0,1,1,3,2,1,1,0,0,0
Northern Bobwhite,969,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,1,0,0,2,0,0,0,0,2,1,2,0,1,1,1,0,1,0,2,1,0,0,1,1,0,0,1,2,0,2,0,7,1,0,1,3,1,0,2,1,7,0,3,0,2,1,1,1,0,1,2,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,1,0,0,3,0,1,0,1,2,0,1,0,0,1,2,1,0,2,0,0,1,1,0,1,1,0,6
Golden Crowned Kinglet,967,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,5,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,1,0,2,1,1,0,0,2,0,1,0,2,1,3,1,4,6,1,2,2,0,2,0,3,3,1,1,2,3,0,1,3,2,2,2,0,1,0,2,0,0,3,1,0,0,3,1,0,0,0,1,1,2,0,0,0,1,2,3,1,0,1,0,0,0,1,1,0,3,0,0,0,0,0,1,0,1
Wilson's Snipe,959,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,2,6,0,2,1,4,0,1,0,3,0,2,1,0,6,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,2,5,6,0,0,1,1,3,2,2,0,2,3,1,3,1,3,0,0,3,4,0,0,0,0,2,2,1,0,1,0,4,2,2,3,0,1,0,0,0,1,0,1,0,1,6,1,0,3,1,0,1,1,0,0,0,3,4,0,1,0,0,1
Painted Bunting,958,1,1,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,3,0,1,1,0,0,1,5,0,0,0,1,0,0,0,3,4,2,1,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,1,0,0,2,0,1,0,0,1,0,2,0,1,1,0,0,1,1,0,2,0,29,1,1,0,1,1
Northern Cardinal,958,2,3,1,0,1,1,2,1,0,0,0,2,2,0,0,1,8,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,1,2,3,1,0,0,5,0,1,2,0,1,2,1,1,3,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,2,5,0,0,0,0,0,2,0,0
Common Ground Dove,949,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,6,0,0,1,0,2,0,0,0,0,1,6,4,2,1,2,2,0,7,0,0,0,3,0,0,0,1,4,0,0,0,3,0,1,1,2,2,2,2,1,1,0,0,4,0,1,4,1,0,0,1,1,0,4,0,0,1,0,6,1,1,1,1,1,1,2,0,0,0,0,0,7,0,1,2,1,0,0,2,2,0,0,1,2,2,4,1,0,3,1,0,0
Ruffed Grouse,938,2,0,0,1,0,1,0,5,0,0,1,2,1,3,0,1,1,0,0,0,1,1,0,0,1,0,2,2,2,1,0,1,1,4,1,0,0,0,1,1,1,0,0,0,1,2,1,1,2,1,1,0,1,2,1,0,0,2,3,1,2,2,4,0,2,3,0,0,2,0,0,2,0,3,1,0,3,0,1,2,0,3,0,1,1,0,2,1,0,1,1,0,0,0,0,4,1,0,0,0,0,1,2,0,7,2,0,1
Ruddy Turnstone,936,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,1,1,1,1,5,3,1,0,0,0,3,0,1,2,2,2,0,1,0,0,3,1,0,1,2,2,2,0,5,1,0,0,0,0,3,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,5,1,0,0,0,1,1,0,0,0,1,1,0,1,1,2,0,0,4
Northern Flicker,932,2,0,0,0,1,1,1,0,1,0,1,3,0,1,0,0,2,0,1,1,0,1,1,3,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,3,2,1,0,1,4,0,1,1,6,0,0,0,4,0,3,6,0,1,5,0,1,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,0,0,0,0,2,0,1,3,0,4,0,0,0,0,0,1,1,0,1,0,3,0,1,1,4,4
California Condor,930,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,3,0,1,0,0,1,1,1,0,0,2,0,0,2,0,2,1,1,3,1,1,0,1,1,2,0,0,1,1,1,2,4,1,2,1,1,5,0,2,1,0,1,7,5,0,2,0,0,8,1,0,2,2,0,1,3,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,1,0,2,0,0,1,1,0,0,0,1,0,0,5,0,1,0,2,0
Northern Shoveler,911,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,2,0,0,0,0,3,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0,0,2,1,0,1,3,1,1,1,1,1,1,0,0,9,2,0,0,0,16,7,3,0,1,1,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,2,3,0,5,0,1,0,1,1
Spotted Towhee,906,0,0,0,1,0,2,2,1,0,1,0,2,2,2,0,0,1,0,1,0,0,0,0,0,0,2,1,3,0,0,2,0,0,1,1,1,0,0,1,0,0,0,3,1,0,0,1,5,0,0,1,2,0,0,1,0,1,0,0,1,1,1,0,0,1,1,4,1,0,0,0,1,1,1,1,0,3,0,2,2,1,0,0,1,1,0,1,1,0,3,2,2,2,0,1,1,0,0,2,0,0,0,13,0,2,1,0,1
Eastern Bluebird,900,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,0,1,1,0,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,8,3,0,0,0,0,2,2,1,1,0,2,3,2,2,4,0,0,8,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,4,1,1,0,0,0,0,0,1,4,1,0,8,0,1,0,1,6
Snow Bunting,887,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,3,1,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,11,1,1,0,2,3,2,0,2,1,2,1,1,3,0,5,0,1,1,0,0,3,0,0,3,3,1,3,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,2,0,0,1,0,0,1,0
Clapper Rail,854,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,3,1,3,0,3,2,0,0,0,2,0,1,0,0,2,1,1,1,0,0,1,0,0,2,0,1,0,0,5,1,1,0,2,2,0,2,3,0,0,1,2,0,2,4,0,3,0,2,1,0,0,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,1,0,0,2,3,0,1,0,0,1,0,0,2
Yellow Headed Blackbird,853,0,0,0,1,2,1,0,0,0,0,0,0,0,1,5,1,0,2,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,3,2,0,0,0,1,0,1,0,4,0,0,0,0,2,0,0,0,0,2,1,0,2,3,2,1,1,1,4,2,2,2,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,1,0,0,2,0,1,1,2,0,0,1,1,0,1,2,0,0,3,2,0,0,1,0,2
Mourning Dove,847,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,1,2,0,1,2,4,0,2,8,2,2,0,1,0,3,0,1,2,0,3,2,2,1,0,1,0,4,0,2,2,1,1,1,0,0,0,0,1,3,2,0,0,0,0,0,2,6,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0
Caspian Tern,847,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,2,0,2,0,2,0,3,0,0,5,2,0,0,0,0,0,2,0,1,0,0,0,1,1,2,2,0,1,0,2,0,3,1,2,3,1,2,0,2,2,4,0,3,0,2,0,0,0,2,1,0,0,0,1,1,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,1,1,1,2,4,2,3,2,0,0,0,2,2,0,3
Great Horned Owl,842,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,2,0,0,0,4,0,1,1,0,1,2,3,0,0,2,2,1,4,1,0,3,0,0,0,0,0,0,1,0,1,4,3,2,1,0,5,6,1,1,0,0,0,3,1,5,1,0,0,5,2,0,5,0,0,0,0,1,0,1,0,4,1,0,0,1,0,2,0,3,0,1,6,1,0,3,2,1,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0
White Breasted Nuthatch,840,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,8,0,1,1,0,0,0,1,2,1,0,1,2,1,6,1,2,1,2,0,0,0,0,1,1,5,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0
Tufted Titmouse,832,0,0,0,2,1,1,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,5,1,3,0,0,0,0,0,1,2,1,1,1,2,0,2,0,6,2,0,4,1,2,1,0,0,5,0,0,4,0,0,1,4,2,0,1,3,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,3,2,2,2,0,0,1,1,0,0,1,1,0,2,3,0,3,0,0,4
Cactus Wren,831,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,3,0,0,0,0,1,1,0,1,1,0,0,4,0,0,1,0,1,0,0,0,8,2,0,0,3,2,1,0,1,0,0,0,2,0,1,1,1,0,1,0,2,1,1,0,0,3,1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,2,1,0,0,1,7,1,0,1,0,1,0,2
Whooping Crane,828,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,3,0,0,2,0,0,0,0,1,0,0,1,0,1,0,5,4,1,1,0,1,0,0,0,0,1,1,0,2,5,0,1,4,2,1,0,0,0,1,0,2,0,0,1,1,0,1,2,0,0,1,1,1,1,6,0,2,1,1,1,1,2,1,1,1,1,1,0,0,1,1,2,0,2,0,0,0,0,1,0,0,0,0,1,4,0,2,0,0,1
Ovenbird,822,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,0,1,0,4,2,0,0,0,0,0,1,0,5,0,0,0,1,1,1,0,0,0,3,1,2,1,1,3,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,2,2,0,0,2,5,2,1
Great Blue Heron,810,1,0,0,1,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,0,1,1,0,1,0,0,1,1,0,1,3,1,3,2,3,1,0,0,0,0,2,0,0,1,0,1,0,7,0,0,0,4,5,0,6,3,1,2,2,2,1,1,1,0,1,2,0,1,1,0,2,0,1,0,1,2,2,1,0,0,0,2,0,1,1,0,1,2,0,0,2,3,0,0,1,4,2,1,0,2,0,4,7,1,0,0,1,0
Black Capped Chickadee,809,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,1,3,1,1,0,3,0,0,0,3,1,0,1,0,5,0,0,0,1,2,1,0,0,2,0,2,3,0,1,0,0,2,3,0,1,0,0,0,0,4,0,0,1,1,0,1,0,0,3,0,0,1,0,1,0,0,1,0,1,2,0,1,4,1,0,0,0,0,3,2,0,0,1,2,2
American Bittern,809,0,0,0,0,2,0,0,1,0,2,0,1,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2,0,5,0,0,1,0,1,1,0,1,0,1,0,1,0,4,0,2,2,0,0,1,6,1,1,3,3,4,0,2,1,1,6,0,1,5,3,0,0,0,0,0,1,1,0,0,0,1,0,0,2,4,1,0,0,1,0,2,2,0,0,0,0,0,1,2,2,2,1,0,2,0,1,3,1,0,0,0,1
Double Crested Cormorant,808,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,11,1,0,0,0,0,3,0,0,3,1,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,1,1,1,5,3,6,0,0,3,1,2,3,1,0,2,0,0,0,4,1,3,0,3,2,1,1,0,0,0,2,1,0,1,0,0,5,1,0,0,0,1,1,1,3,2,0,0,0,0,1,1,0,0,0
Ring Necked Pheasant,786,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,5,0,3,2,2,3,0,0,0,0,2,0,0,2,2,3,1,4,0,1,2,0,0,1,1,0,0,0,6,5,0,1,2,0,3,4,1,0,0,3,2,1,4,2,1,2,5,2,2,2,0,1,1,2,0,0,1,1,1,1,4,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2
Common Grackle,781,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,4,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,0,0,2,0,0,0,2,0,0,0,10,0,1,2,0,3,0,0,0,1,0,0,1,0,0,1,1,0,1,2,0,2,1,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,3,3,0,1,0,1,2,1,1,3,1,0,0,2,3,0,1,1,0,1
Magnificent Frigatebird,764,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,1,1,1,1,0,0,2,2,0,1,0,2,0,0,0,1,0,0,2,4,1,1,0,1,1,2,1,0,0,2,0,2,1,1,1,1,0,3,2,0,0,2,0,0,1,3,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,6,0,0,0
American Robin,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,12,0,0,2,3,1,3,0,3,0,0,1,2,0,0,1,1,3,0,0,0,1,1,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,2,2,1,5,0,0,0,1,1,0,0,1,1,1,0,2,0,0,0,5,0,1,0,0,1
Ruby Throated Hummingbird,740,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,0,0,1,2,0,1,2,1,2,0,2,2,0,0,0,1,0,0,0,0,0,1,0,2,0,2,1,4,1,0,18,2,1,5,0,0,1,1,0,0,1,0,3,1,0,1,0,0,0,1,1,0,1,0,2,0,2,1,1,3,0,6,1,0,0,0,1,2,1,1,0,26,1,1,0,0,0,2,2,2,3,0,0,0,1,0
Gray Catbird,739,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,1,0,2,0,2,0,0,0,0,0,5,1,0,0,0,1,0,0,1,2,0,0,0,0,6,0,1,0,6,5,0,0,0,0,1,1,1,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,0,1,0,2,1,0,0,1,1
Kentucky Warbler,732,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,2,0,1,1,0,0,0,0,0,1,1,3,1,0,0,5,1,0,1,0,2,0,0,1,1,0,1,3,3,0,0,3,0,4,6,0,1,0,0,0,1,1,0,0,1,2,0,1,1,1,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0,2,1,0,1,1,0,1,1,2,0,0,2
American Coot,716,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,3,3,0,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,2,1,0,2,1,0,0,0,3,0,2,1,2,0,0,0,0,0,1,2,2,0,0,0,0,3,3,1,0,1,2,1,1,0,1,5,1,1,1,0,13,1,1,4
Black Skimmer,712,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,1,1,0,1,0,0,0,2,0,0,4,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,6,1,0,0,1,0,3,1,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,3,1,3,2,4,3,0,0,1,0,1,0,0,0
American Woodcock,708,0,0,0,0,0,3,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,0,1,0,0,0,1,0,0,1,2,1,1,5,1,0,0,0,4,1,0,0,1,0,2,1,2,0,6,1,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,1,0,1,2,0,1,1,0,1,0,2,0,0,1
Turkey Vulture,702,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,2,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,1,2,0,1,0,0,1,0,3,4,0,2,1,1,2,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,4,0,2,0,0,1
Barred Owl,693,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,0,1,0,0,1,1,0,0,1,3,1,0,0,1,0,0,0,1,1,0,4,1,2,1,1,11,1,1,2,0,1,0,0,0,0,2,0,0,4,1,0,2,1,0,1,1,2,0,2,0,2,0,0,1,0,0,2,2,1,3,0,0,1,0,2,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0
Trumpeter Swan,688,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,2,0,1,2,2,1,2,1,0,0,1,0,2,1,2,0,1,2,0,1,0,1,0,1,0,3,0,0,1,3,3,0,0,0,0,0,1,2,0,0,1,4,1,1,7,2,0,4,1,0,3,1,0,0,1,6,1,1,0,2,0,0,2,0,1,1,0,2,1,0,0,0,2,1,0,0,3,0,1,0,1,1,1,1,0,0,0,2,1,0,0
Mallard,687,0,0,2,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,3,0,1,1,0,1,0,4,0,0,0,1,10,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,1,0,0,0,2,0,0,1,0,4,1,0,1
