bird,amount seen
Giant Kingfisher,12
European Storm Petrel,12
European Robin,12
Cory's Shearwater,12
Common Black Hawk,12
Caspian Gull,12
Blue Cheeked Bee Eater,12
Armenian Gull,12
Zebra Waxbill,11
White Throated Swallow,11
White Faced Whistling Duck,11
Southern Red Billed Hornbill,11
Rufous Naped Lark,11
Red Knobbed Coot,11
Cape Bunting,11
Black Stork,11
African Fish Eagle,11
Speckled Mousebird,10
Siberian Rubythroat,10
Rose Ringed Parakeet,10
Reddish Egret,10
Namaqua Dove,10
Meadow Pipit,10
Helmeted Guineafowl,10
Harlequin Quail,10
Greater Flamingo,10
Cape Eagle Owl,10
Black Collared Barbet,10
African Marsh Harrier,10
White Throated Dipper,9
White Rumped Swiftlet,9
White Bellied Bustard,9
Temminck's Courser,9
Southern Yellow Billed Hornbill,9
Secretarybird,9
Rameron Pigeon,9
Mountain Robin Chat,9
Montane Blue Swallow,9
Mocking Cliff Chat,9
Mediterranean Gull,9
Herring Gull (american),9
Eurasian Hoopoe (central African),9
Common Ostrich,9
Cape Robin Chat,9
Black Headed Heron,9
Audouin's Gull,9
African Palm Swift,9
African Black Duck,9
Superb Starling,8
Sooty Gull,8
Slender Billed Gull,8
Rook,8
Red Crested Pochard,8
Red Billed Quelea,8
Purple Heron,8
Pied Avocet,8
Ovambo Sparrowhawk,8
Mandarin Duck,8
Lizard Buzzard,8
Kamao,8
Greater Spotted Eagle,8
Eurasian Blackcap,8
Common Quail,8
Cape Sparrow,8
Blue Crane,8
African Wood Owl,8
Zitting Cisticola,7
Woodland Kingfisher,7
Willow Ptarmigan (red Grouse),7
White Fronted Bee Eater,7
Water Rail,7
Velvet Scoter,7
Tawny Pipit,7
Tawny Owl,7
Spotted Owlet,7
Sardinian Warbler,7
Rüppell's Warbler,7
Rock Pipit,7
Red Rumped Swallow,7
Pearl Spotted Owlet,7
Marabou Stork,7
Long Crested Eagle,7
Lesser Spotted Eagle,7
Hen Harrier,7
Greater Kestrel,7
Greater Honeyguide,7
Great Reed Warbler,7
Great Crested Grebe,7
Eurasian Sparrowhawk,7
Eurasian Reed Warbler,7
Common Firecrest,7
Common Chiffchaff (siberian),7
Blackish Oystercatcher,7
Black Winged Pratincole,7
Western Rock Nuthatch,6
Western Orphean Warbler,6
Spotted Crake,6
South American Snipe,6
Shikra,6
Little Owl,6
Gran Canaria Blue Chaffinch,6
Goldcrest,6
Garden Warbler,6
Eastern Orphean Warbler,6
Cape Rock Thrush,6
Black Winged Kite,6
Banded Martin,6
Yellowhammer,5
White Backed Vulture,5
Western Olivaceous Warbler,5
Western Bonelli's Warbler,5
Wallcreeper,5
Tundra Swan (bewick's),5
Stock Dove,5
Steppe Eagle,5
Short Toed Treecreeper,5
Short Toed Snake Eagle,5
Savi's Warbler,5
Red Legged Partridge,5
Pallid Scops Owl,5
Northwestern Crow,5
Madeira Firecrest,5
Long Tailed Tit,5
Lesser Crested Tern,5
Herring Gull (european),5
Greenish Warbler,5
Great Bittern,5
Finsch's Wheatear,5
European Shag,5
European Honey Buzzard,5
Eurasian Wren,5
Eurasian Marsh Harrier,5
Eurasian Linnet,5
Eastern Bonelli's Warbler,5
Desert Owl,5
Crested Lark,5
Corsican Nuthatch,5
Coal Tit,5
Cinereous Vulture,5
Cetti's Warbler,5
Booted Warbler,5
Bonelli's Eagle,5
Blue Naped Mousebird,5
Black Wheatear,5
Black Headed X Ring Billed Gull (hybrid),5
Black Billed Capercaillie,5
Bearded Reedling,5
African Crake,5
White Backed Vulture/rüppell's Griffon,4
Water Pipit,4
Wahlberg's Eagle,4
Swinhoe's Snipe,4
Subalpine Warbler,4
Saunders's Tern,4
Sandwich Tern (cabot's),4
Rock Sparrow,4
Relict Gull,4
Red Kite,4
Mccown's Longspur,4
Marsh Tit,4
Madagascar Snipe,4
Krüper's Nuthatch,4
Kentish Plover,4
Isabelline Wheatear,4
Imperial Eagle,4
Greater Whitethroat,4
Greater Short Toed Lark,4
Great Snipe,4
Gabar Goshawk,4
European Pied Flycatcher,4
Eurasian Treecreeper,4
Eurasian Thick Knee,4
Eurasian Nuthatch,4
Dead Sea Sparrow,4
Crested Tit,4
Common Grasshopper Warbler,4
Collared Pratincole,4
Chinese Hwamei,4
Canebrake Wren,4
Canary Islands Chiffchaff,4
Buff Breasted Wren,4
Blackish Rail,4
Black Redstart,4
Bateleur,4
Balearic Warbler,4
Asian Dowitcher,4
Aquatic Warbler,4
Amami Woodcock,4
Yellowish Flycatcher,3
Wood Snipe,3
Wood Lark,3
Willow Tit,3
White Throated Flycatcher,3
White Eyed Gull,3
White Cheeked Tern,3
Whimbrel (hudsonian),3
Verreaux's Eagle,3
Ural Owl,3
Tawny Owl (atlas),3
Spur Winged Lapwing,3
Spanish Sparrow,3
Spanish Eagle,3
Sombre Tit,3
Small Buttonquail,3
Pharaoh Eagle Owl,3
Pallas's Fish Eagle,3
Paddyfield Warbler,3
Oriental Honey Buzzard,3
Northern Shoveler X Mallard (hybrid),3
Noble Snipe,3
New Guinea Woodcock,3
Moustached Warbler,3
Moltoni's Warbler,3
Melodious Warbler,3
Marmora's Warbler,3
Marbled Teal,3
Lesser Spotted Woodpecker,3
Javan Woodcock,3
Imperial Snipe,3
Iberian Chiffchaff,3
Hooded Vulture,3
Greater Painted Snipe,3
Ferruginous Duck,3
Eurasian Spoonbill,3
Eurasian Scops Owl (cyprus),3
Eurasian Penduline Tit,3
Eurasian Jay,3
Eurasian Griffon,3
Eurasian Crag Martin,3
Eurasian Blue Tit,3
Egyptian Vulture,3
Dartford Warbler,3
Cyprus Wheatear,3
Cotton Pygmy Goose,3
Carrion Crow,3
Cape Verde Buzzard,3
Calandra Lark,3
Bukidnon Woodcock,3
Brown Headed Gull,3
Besra,3
Band Backed Wren,3
Baillon's Crake,3
Alpine Accentor,3
White Winged Snowfinch,2
Whimbrel/eurasian Curlew,2
Westland Petrel,2
Tuamotu Sandpiper,2
Tooth Billed Wren,2
Subantarctic Snipe,2
Stripe Breasted Wren,2
Speckle Breasted Wren,2
Sooty Headed Wren,2
Snares Island Snipe,2
Rufous Naped Wren (sclater's),2
Rufous Breasted Wren,2
Ruddy Shelduck,2
Royal Tern (african),2
Riverside Wren,2
Richard's Pipit,2
Pallid Harrier,2
Pacific Swallow,2
Nordmann's Greenshank,2
Little Pied Cormorant,2
Lesser Short Toed Lark,2
Latham's Snipe,2
Jameson's Snipe,2
Italian Sparrow,2
Icterine Warbler,2
Green Winged Teal (eurasian),2
Great Bustard,2
Giant Snipe,2
Fasciated Wren,2
European Stonechat,2
European Roller,2
European Bee Eater,2
Eurasian Moorhen,2
Eurasian Green Woodpecker,2
Eurasian Eagle Owl,2
Eastern Olivaceous Warbler,2
Dunnock,2
Dark Chanting Goshawk,2
Cyprus Warbler,2
Crested Myna,2
Cream Colored Courser,2
Common Nightingale,2
Collared Owlet,2
Collared Kingfisher,2
Chestnut Cheeked Starling,2
Brown Fish Owl,2
Brown Eared Bulbul,2
Boucard's Wren,2
Blue Rock Thrush,2
Black Naped Oriole,2
Black Eared Wheatear,2
Black Capped Flycatcher,2
Black Bellied Wren,2
Berthelot's Pipit,2
Bearded Vulture,2
Barred Warbler,2
Asian House Martin,2
Alpine Swift,2
Abyssinian Roller,2
White Headed Wren,1
White Headed Duck,1
White Breasted Wood Wren,1
White Bellied Wren,1
Whiskered Wren,1
Western Swamphen,1
Timberline Wren,1
Tepui Wren,1
Tenerife Blue Chaffinch,1
Tawny Faced Quail,1
Taiwan Thrush,1
Sumichrast's Wren,1
Subantarctic Shearwater,1
Squacco Heron,1
Spectacled Warbler,1
Spectacled Petrel,1
Southern Giant Petrel,1
Southern Fulmar,1
South American Snipe (magellanic),1
Song Wren,1
Socorro Wren,1
Sharpe's Wren,1
Rufous Naped Wren (veracruz),1
Rufous Browed Wren,1
Ringed Teal,1
Red Shoveler,1
Red Billed Duck,1
Radjah Shelduck,1
Puna Snipe,1
Philippine Duck,1
Peruvian Wren,1
Pallid Swift,1
Pale Thrush,1
Pacific Swift,1
Oriental Plover,1
Orange Cheeked Waxbill,1
Olive Tree Warbler,1
Ochraceous Wren,1
Northern Hawk Cuckoo,1
Niceforo's Wren,1
New Zealand Scaup,1
Nelson's/saltmarsh Sparrow (sharp Tailed Sparrow),1
Nava's Wren,1
Mountain Wren,1
Montagu's Harrier,1
Moluccan Woodcock,1
Marsh Owl,1
Lowland White Eye,1
Long Billed Wren,1
Little Swift,1
Little Crake,1
Little Bustard,1
Lesser Moorhen,1
Lesser Cuckoo,1
Large Hawk Cuckoo,1
Large Billed Crow,1
Lappet Faced Vulture,1
Lady Amherst's Pheasant,1
Isthmian Wren,1
Indian Roller,1
House Swift,1
Herring Gull (vega),1
Greater Coucal,1
Great Tit,1
Gray Chinned Minivet,1
Gould's Petrel,1
Fulmar Prion,1
Fuegian Snipe,1
Fluttering Shearwater,1
Flutist Wren,1
Fiery Tailed Awlbill,1
Eurasian Scops Owl,1
Eurasian Pygmy Owl,1
Eurasian Nightjar,1
Eastern Marsh Harrier,1
Eastern Crowned Warbler,1
Eastern Buzzard,1
Daurian Starling,1
Dalmatian Pelican,1
Coraya Wren,1
Common Kingfisher,1
Collared Scops Owl,1
Collared Finchbill,1
Collared Crow,1
Collared Bush Robin,1
Cinnamon Bittern,1
Chinese Blackbird,1
Chestnut Bunting,1
Chestnut Breasted Wren,1
Cape Teal,1
Brown Rumped Minivet,1
Boyd's Shearwater,1
Black Throated Laughingthrush,1
Black Naped Tern,1
Black Grouse,1
Black Faced Spoonbill,1
Black Collared Starling,1
Black Capped Kingfisher,1
Black Browed Reed Warbler,1
Black Bittern,1
Bay Wren,1
Barred Cuckoo Dove,1
Banded Wren,1
Asian Glossy Starling,1
Asian Emerald Dove,1
Apolinar's Wren,1
Amur Paradise Flycatcher,1
